,city,idx,url
2144,H,7845,http://aqicn.org/city/china/qitaihe/hutougou/
2145,r,7279,http://aqicn.org/city/china/suihua/renhedongjie/
2146,Party and,7280,http://aqicn.org/city/china/suihua/dangzhengbangongzhongxin/
2147,Environment protection,7560,http://aqicn.org/city/china/daxinganlingdiqu/huanbaoju/
2148,Public security,7561,http://aqicn.org/city/china/daxinganlingdiqu/gonganju/
2149,Mingzhu Plaza,1290,http://aqicn.org/city/china/hefei/mingzhuguangchang/
2150,Sanli Street,1291,http://aqicn.org/city/china/hefei/sanlijie/
2151,Hupo Compound,1292,http://aqicn.org/city/china/hefei/huposhanzhuang/
2152,Dongpu Reservoir,1293,http://aqicn.org/city/china/hefei/dongpushuiku/
2153,Changjiang middle,1294,http://aqicn.org/city/china/hefei/changjiangzhonglu/
2154,Luyang District,1295,http://aqicn.org/city/china/hefei/luyangqu/
2155,Yaohai District,1296,http://aqicn.org/city/china/hefei/yaohaiqu/
2156,Baohe District,1297,http://aqicn.org/city/china/hefei/baohequ/
2157,Lake district,1298,http://aqicn.org/city/china/hefei/binhuxinqu/
2158,High,1299,http://aqicn.org/city/china/hefei/gaoxinqu/
2159,Hefei,1497,http://aqicn.org/city/hefei/
2160,Hudong Road,3589,http://aqicn.org/city/china/maanshan/hudonglusixiao/
2161,Tianping Garment,3590,http://aqicn.org/city/china/maanshan/tianpingfuzhuang/
2162,City education,3591,http://aqicn.org/city/china/maanshan/shijiaoyujidi/
2163,Cihu No,3592,http://aqicn.org/city/china/maanshan/cihuerxiao/
2164,Maanshan steel,3593,http://aqicn.org/city/china/maanshan/magangdonglichang/
2165,Maanshan,1499,http://aqicn.org/city/maanshan/
2166,Science Innovation,3594,http://aqicn.org/city/china/wuhu/kechuangzhongxin/
2167,No,3595,http://aqicn.org/city/china/wuhu/sishuichang/
2168,Monitoring station,3596,http://aqicn.org/city/china/wuhu/jiancezhan/
2169,Wuqierling Factory,3597,http://aqicn.org/city/china/wuhu/wuqierlingchang/
2170,Wuhu,1498,http://aqicn.org/city/wuhu/
2171,Laonian University,5869,http://aqicn.org/city/china/chuzhou/laoniandaxue/
2172,r,5870,http://aqicn.org/city/china/chuzhou/rendabinguan/
2173,Monitoring station,5871,http://aqicn.org/city/china/chuzhou/jiancezhan/
2174,Chuzhou,5878,http://aqicn.org/city/chuzhou/
2175,Nursing home,7091,http://aqicn.org/city/china/bangbu/gongrenliaoyangyuan/
2176,b,7092,http://aqicn.org/city/china/bangbu/baihuodalou/
2177,,7093,http://aqicn.org/city/china/bangbu/ershuichang/
2178,Bengbu College,7094,http://aqicn.org/city/china/bangbu/bangbuxueyuan/
2179,Government Huaishang,7095,http://aqicn.org/city/china/bangbu/huaishangquzhengfu/
2180,High,7096,http://aqicn.org/city/china/bangbu/gaoxinqu/
2181,Bangbu,7897,http://aqicn.org/city/bangbu/
2182,d,7097,http://aqicn.org/city/china/huainan/datongquzhengfu/
2183,Panji District,7098,http://aqicn.org/city/china/huainan/panjiquzhengfu/
2184,Normal university,7099,http://aqicn.org/city/china/huainan/shifanxueyuan/
2185,Xiejiaji District,7100,http://aqicn.org/city/china/huainan/xiejiajiquzhengfu/
2186,Bagongshan District,7101,http://aqicn.org/city/china/huainan/bagongshanquzhengfu/
2187,Jiao Gang,7102,http://aqicn.org/city/china/huainan/jiaoganghufengjingquguanlichu/
2188,Monitoring station,7103,http://aqicn.org/city/china/huaibei/jiancezhan/
2189,Lieshan government,7104,http://aqicn.org/city/china/huaibei/lieshanquzhengfu/
2190,Vocational and,7105,http://aqicn.org/city/china/huaibei/zhiyejishuxueyuan/
2191,Huaibei,7898,http://aqicn.org/city/huaibei/
2192,No4 middle,7106,http://aqicn.org/city/china/tongling/shidisizhongxue/
2193,sh,7107,http://aqicn.org/city/china/tongling/shigongluju/
2194,Xinmin City,7108,http://aqicn.org/city/china/tongling/shixinminwushuichang/
2195,Ninth Middle,7109,http://aqicn.org/city/china/tongling/shidijiuzhongxue/
2196,City committee,7110,http://aqicn.org/city/china/tongling/shiweidangxiao/
2197,No,7111,http://aqicn.org/city/china/tongling/shiyizhongxue/
2198,Tongling,7899,http://aqicn.org/city/tongling/
2199,Academy of,7112,http://aqicn.org/city/china/anqing/huankeyuan/
2200,Mashan museum,7113,http://aqicn.org/city/china/anqing/mashanbinguan/
2201,li,7114,http://aqicn.org/city/china/anqing/lianfuhuayuan/
2202,Anqing University,7115,http://aqicn.org/city/china/anqing/anqingdaxue/
2203,Anqing,7900,http://aqicn.org/city/anqing/
2204,Yan,7116,http://aqicn.org/city/china/huangshan/yananlu89hao/
2205,Huangshandong road,7117,http://aqicn.org/city/china/huangshan/huangshandonglu89hao/
2206,Huangshan District,7118,http://aqicn.org/city/china/huangshan/huangshanquzhengfu5haolou/
2207,ji,7125,http://aqicn.org/city/china/liuan/jiancedalou/
2208,West Anhui,7126,http://aqicn.org/city/china/liuan/wanxixueyuan/
2209,Chaoyang plant,7127,http://aqicn.org/city/china/liuan/chaoyangchang/
2210,BDA,7128,http://aqicn.org/city/china/liuan/kaifaqu/
2211,Lu,7901,http://aqicn.org/city/luan/
2212,EPA building,7131,http://aqicn.org/city/china/chizhou/huanbaodalou/
2213,Chizhou College,7132,http://aqicn.org/city/china/chizhou/chizhouxueyuan/
2214,p,7133,http://aqicn.org/city/china/chizhou/pingtianhu/
2215,Chizhou,7902,http://aqicn.org/city/chizhou/
2216,Aofong sub,7134,http://aqicn.org/city/china/xuancheng/aofengzizhan/
2217,Jingtingshan sub,7135,http://aqicn.org/city/china/xuancheng/jingtingshanzizhan/
2218,BDA Station,7136,http://aqicn.org/city/china/xuancheng/kaifaquzizhan/
2219,Xuancheng,7903,http://aqicn.org/city/xuancheng/
2220,Jiangxi Foreign,1304,http://aqicn.org/city/china/nanchang/shengwaiban/
2221,Provincial forestry,1305,http://aqicn.org/city/china/nanchang/shenglinyegongsi/
2222,Institute of,1306,http://aqicn.org/city/china/nanchang/linkesuo/
2223,Jingdong town,1307,http://aqicn.org/city/china/nanchang/jingdongzhenzhengfu/
2224,Contruction Industry,1308,http://aqicn.org/city/china/nanchang/jiangongxuexiao/
2225,Xianghu,1309,http://aqicn.org/city/china/nanchang/xianghu/
2226,Martial Arts,1310,http://aqicn.org/city/china/nanchang/wushuxuexiao/
2227,Provincial Station,1312,http://aqicn.org/city/china/nanchang/shengzhan/
2228,Nanchang,1503,http://aqicn.org/city/nanchang/
2229,,9884,http://aqicn.org/city/china/nanchang/jidianxuexiao/
2230,Lushan Mountain,3645,http://aqicn.org/city/china/jiujiang/lushanqixiangtai/
2231,Shili,3646,http://aqicn.org/city/china/jiujiang/shili/
2232,Maoshantou,3647,http://aqicn.org/city/china/jiujiang/maoshantou/
2233,Xiyuan,3648,http://aqicn.org/city/china/jiujiang/xiyuan/
2234,Wuqierling Factory,3649,http://aqicn.org/city/china/jiujiang/wuqierqichang/
2235,Water Scientific,3650,http://aqicn.org/city/china/jiujiang/shuikesuo/
2236,Zonghe Industrial,3651,http://aqicn.org/city/china/jiujiang/zonghegongyeyuan/
2237,Petrochemical General,3652,http://aqicn.org/city/china/jiujiang/shihuazongchang/
2238,Jiujiang,1504,http://aqicn.org/city/jiujiang/
2239,Feiyu,5872,http://aqicn.org/city/china/xinyu/feiyu/
2240,x,5873,http://aqicn.org/city/china/xinyu/xingangyangqichang/
2241,Beigang,5874,http://aqicn.org/city/china/xinyu/beigang/
2242,No,5875,http://aqicn.org/city/china/xinyu/diershuichang/
2243,Bureau of,5876,http://aqicn.org/city/china/xinyu/shiqixiangju/
2244,Xinyu,5877,http://aqicn.org/city/xinyu/
2245,Jingdezhen,7876,http://aqicn.org/city/jingdezhen/
2246,Wang Gang,7769,http://aqicn.org/city/china/jingdezhen/wanggangzhongxue/
2247,l,7770,http://aqicn.org/city/china/jingdezhen/laoganbuhuodongzhongxin/
2248,Veterinary Station,7771,http://aqicn.org/city/china/jingdezhen/shouyizhan/
2249,t,7772,http://aqicn.org/city/china/jingdezhen/taidataoci/
2250,t,7773,http://aqicn.org/city/china/jingdezhen/taoyansuo/
2251,Pingxiang,7877,http://aqicn.org/city/pingxiang/
2252,Wugongshan Stations,7774,http://aqicn.org/city/china/pingxiang/wugongshanqixiangzhan/
2253,Traditional Chinese,7775,http://aqicn.org/city/china/pingxiang/zhongyiyuan/
2254,Municipal Garage,7776,http://aqicn.org/city/china/pingxiang/shizhengfucheku/
2255,City EPA,7777,http://aqicn.org/city/china/pingxiang/shihuanbaoju/
2256,Anyuan District,7778,http://aqicn.org/city/china/pingxiang/anyuanquzhengfu/
2257,Yingtan,7878,http://aqicn.org/city/yingtan/
2258,Lung Fu,7779,http://aqicn.org/city/china/yingtan/longhushan/
2259,x,7780,http://aqicn.org/city/china/yingtan/xinjiancezhan/
2260,c,7781,http://aqicn.org/city/china/yingtan/caiyuanbinguan/
2261,Gymnasium,7782,http://aqicn.org/city/china/yingtan/tiyuguan/
2262,s,7783,http://aqicn.org/city/china/yingtan/sanchuanshuibiao/
2263,Ganzhou,7879,http://aqicn.org/city/ganzhou/
2264,t,7784,http://aqicn.org/city/china/ganzhou/tongtianyan/
2265,de w,7785,http://aqicn.org/city/china/ganzhou/diwei/
2266,q,7786,http://aqicn.org/city/china/ganzhou/qixiangtai/
2267,City Library,7787,http://aqicn.org/city/china/ganzhou/shitushuguan/
2268,hu,7788,http://aqicn.org/city/china/ganzhou/huajianxiecheng/
2269,Ji,7880,http://aqicn.org/city/jian/
2270,h,7789,http://aqicn.org/city/china/jian/hongshengqicaichang/
2271,sh,7790,http://aqicn.org/city/china/jian/shisenlingongyeju/
2272,City Environmental,7791,http://aqicn.org/city/china/jian/shihuanjingjiancezhan/
2273,q,7792,http://aqicn.org/city/china/jian/qingyuanqufayuan/
2274,Fuzhoushi,7882,http://aqicn.org/city/fuzhoushi/
2275,t,7798,http://aqicn.org/city/china/fuzhou/tongyuandangxi/
2276,City Station,7799,http://aqicn.org/city/china/fuzhou/shizhan/
2277,xu,7800,http://aqicn.org/city/china/fuzhou/xuefangzhan/
2278,c,7801,http://aqicn.org/city/china/fuzhou/caichajutuan/
2279,y,7802,http://aqicn.org/city/china/fuzhou/yixuefenyuan/
2280,Shangrao,7883,http://aqicn.org/city/shangrao/
2281,Baicaoyuan,7803,http://aqicn.org/city/china/shangrao/baicaoyuan/
2282,City Monitoring,7804,http://aqicn.org/city/china/shangrao/shijiancezhan/
2283,f,7805,http://aqicn.org/city/china/shangrao/fenghuangguangxue/
2284,BDA Management,7806,http://aqicn.org/city/china/shangrao/kaifaquguanweihui/
2285,Tobacco factory,1313,http://aqicn.org/city/china/zhengzhou/yanchang/
2286,Textile Machinery,1314,http://aqicn.org/city/china/zhengzhou/zhengfangji/
2287,Banking College,1315,http://aqicn.org/city/china/zhengzhou/yinxingxuexiao/
2288,Water Supply,1316,http://aqicn.org/city/china/zhengzhou/gongshuigongsi/
2289,Economic Development,1317,http://aqicn.org/city/china/zhengzhou/jingkaiquguanwei/
2290,No,1318,http://aqicn.org/city/china/zhengzhou/sishiqizhong/
2291,City Monitoring,1319,http://aqicn.org/city/china/zhengzhou/shijiancezhan/
2292,Henan Medical,1320,http://aqicn.org/city/china/zhengzhou/heyida/
2293,Gangli Reservoir,1321,http://aqicn.org/city/china/zhengzhou/ganglishuiku/
2294,Zhengzhou,1522,http://aqicn.org/city/zhengzhou/
2295,Henan University,3724,http://aqicn.org/city/china/kaifeng/hedayifuyuan/
2296,Maternity And,3725,http://aqicn.org/city/china/kaifeng/fuyoubaojianyuan/
2297,Cancer Hospital,3726,http://aqicn.org/city/china/kaifeng/zhongliuyiyuan/
2298,Yellow River,3727,http://aqicn.org/city/china/kaifeng/huangheshuilixueyuan/
2299,Shijixing Kindergarden,3728,http://aqicn.org/city/china/kaifeng/shijixingyoueryuan/
2300, Lankao,3729,http://aqicn.org/city/china/kaifeng/lankaohuanbaojuzidongzhan/
2301,Lankao No,3730,http://aqicn.org/city/china/kaifeng/lankaoyigaozidongzhan/
2302,Kaifeng,1523,http://aqicn.org/city/kaifeng/
2303,Movie and,4443,http://aqicn.org/city/china/jiaozuo/yingshicheng/
2304,High,4444,http://aqicn.org/city/china/jiaozuo/gaoxinquzhengfu/
2305,City Monitoring,4445,http://aqicn.org/city/china/jiaozuo/shijiancezhan/
